"OriginalName","SuggestedName","Rationale","Notes"
"Class338","MapTileShape","Instance vertex/color short and int arrays for a tile","Holds underlay/overlay corner colors and heights"
"Class339","MapRegionLoaderThread","Runnable owning a Thread loading Class295 map regions","Background loader; Class144 and Class295 array fields"
"Class34","SkeletalAnimFrameLoader","Class45 archive caching Class124 frames with short arrays","Holds Class150 base; loads/decodes animation frames"
"Class340","RsaPacketDecoder","Class248/Class112 plus BigIntegers decoding Class314_Sub1 records","RSA/Class348_Sub49 buffer decryptor producing crypto records"
"Class341","TileRenderState","Instance only overrides toString; companion holds render globals","Marker class; sprite/model render caches in companion"
"Class342","WidgetRedrawRegion","Instance dimensions plus next-link and Class101 for dirty regions","Linked dirty-rect node; holds bounds and image ref"
"Class343","BinaryBitReader","Instance reads packed bit fields (16/24-bit) from a source","Holds bit offsets and int array; bitstream reader"
"Class344","ByteStore","Abstract byte-block read/write/get storage","Base for buffered byte stores; abstract get/put/read"
"Class344_Sub1","NioByteStore","Class344 variant backed by a java.nio ByteBuffer","ByteBuffer-backed implementation of ByteStore"
"Class345","ParticleProcessor","Abstract transformer of Class348_Sub42_Sub9 particle nodes","Base with single abstract process method; caches in companion"
"Class345_Sub1","SubsampledParticleProcessor","Overrides method2694 returning Class348_Sub42_Sub9_Sub2 variant; thin Class345 subclass","Variant of Class345 producing a specific Class348_Sub42_Sub9 subtype"
"Class346","KeyboardInputSource","Abstract; returns Interface6 event, poll/clear/isKeyDown; base for input device","Implemented by Class346_Sub1 (AWT keyboard listener)"
"Class346_Sub1","AwtKeyboardListener","Class346 subclass implementing KeyListener/FocusListener; tracks key states, queues events","Variant of Class346; concrete AWT-bound keyboard input source"
"Class347","DragDropController","Instance ints; statics drive interface component drag/drop positioning","Mostly static drag-and-drop logic operating on Class46 components"
"Class348","LinkedListNode","Open base with prev/next pointers and unlink method2715; doubly-linked list node","Base node class for Class262/Class356 intrusive linked lists"
"Class348_Sub1","AbstractTileShape","Class348 node with x/y/z/color/float fields and abstract setters; geometry/tile descriptor","Base for Sub1_Sub1/2/3 tile or vertex variants"
"Class348_Sub10","VorbisAudioDecoder","Decodes packed Vorbis-like bitstream via MDCT into PCM samples","Produces Class348_Sub19_Sub1 audio sample; reads from Class45 cache"
"Class348_Sub11","KeyEventNode","Class348 node implementing Interface6; holds char/keycode/time/state fields","Variant queue element for keyboard events in Class346_Sub1"
"Class348_Sub12","BoundingBoxNode","Class348 node with min/max int bounds and method2799 overlap test","Two AABB intersection check; references Class348_Sub21"
"Class348_Sub13","ModelKeyBuilder","Class348 node with recolor int arrays; CRC64 key gen and Class64 model assembly","Builds/caches Class64 graphics objects keyed by CRC of inputs"
"Class348_Sub14","LongKeyNode","Class348 node wrapping a single long; hashtable key holder","Variant node; statics handle minimap rendering and login art (unrelated)"
"Class348_Sub15","MenuActionNode","Class348 node with id/Class55_Sub1/flags; statics manage scroll bounds and tooltips","Holds menu/action entry; references Class348_Sub16 audio tree"
"Class348_Sub16","AudioStreamNode","Abstract Class348 node; mixSamples/skip, child traversal, volume; audio graph base","Base for Sub16_Sub1..5: synth, mixer, sample player"
"Class348_Sub16_Sub1","SynthVoiceGroup","Class348_Sub16 holding Class262 of Class348_Sub43 voices; advances/mixes envelopes","Variant; per-channel active-note container with Sub16_Sub4 sub-mixer"
"Class348_Sub16_Sub2","PcmStreamBuffer","Class348_Sub16 queue of Class348_Sub42_Sub4 PCM chunks; stereo mix with volume/pan","Variant; buffered decoded-audio playback (used by Vorbis stream)"
"Class348_Sub16_Sub3","MidiSequencePlayer","Class348_Sub16; parses MIDI tracks, manages 16 channels/patches, schedules notes","Variant; full MIDI synthesizer driving Sub16_Sub1 voice groups"
"Class348_Sub16_Sub4","AudioMixerScheduler","Class348_Sub16; two Class262 lists mixing child streams and time-ordered Class348_Sub30 tasks","Variant; sample-accurate scheduler/mixer of sub-streams"
"Class348_Sub16_Sub5","SampledVoice","Class348_Sub16; plays Class348_Sub19_Sub1 sample with rate/pan/loop interpolation","Variant; single resampled voice with envelope and looping"
"Class348_Sub17","SoundBankPatch","Class348 node; parses instrument patch (envelopes Class23, samples Class348_Sub19_Sub1)","Per-instrument sample set; method2929 shared exception wrapper"
"Class348_Sub18","InterfaceBounds","Class348 node with two int rectangles and hit-test/translate methods","Variant; UI region geometry; statics build Class373 game screen"
"Class348_Sub19","AbstractAudioSample","Abstract Class348 node with single anInt6824 field; base for sample data","Base for Sub19_Sub1 PCM sample holder"
"Class348_Sub19_Sub1","PcmSampleData","Class348_Sub19; byte sample array, loop start/end, sample rate; resampling target","Variant; concrete audio sample buffer with loop points"
"Class348_Sub1_Sub1","TerrainTileShape","Class348_Sub1; implements setters; static terrain renderers, map drawing","Variant of Sub1; tile used in minimap/world terrain build"
"Class348_Sub1_Sub2","HashTileShape","Class348_Sub1; implements setters; statics do MD5/Whirlpool hashing","Variant of Sub1; companion holds crypto helper, unrelated to instance"
"Class348_Sub1_Sub3","ParticleTileShape","Class348_Sub1; implements setters; static method2732 spawns particles","Variant of Sub1; tile linked to particle emission"
"Class348_Sub2","MidiFileBuilder","Class348 node; rebuilds compressed song stream into standard MIDI bytes","Holds reconstructed MIDI bytes + Class356 patch-bank map"
"Class348_Sub20","TextureTileRenderer","Class348 node; OpenGL tile mesh builder with NativeHeapBuffer/Stream vertex data","Variant; renders s_Sub2 terrain tiles via ha_Sub2 GL backend"
"Class348_Sub21","CameraSplineNode","Class348 node with int fields; static method2954 evaluates cubic camera spline path","Holds path/spline index; companion computes camera position/angles"
"Class348_Sub22","NpcReference","Class348 node wrapping an Npc; statics resolve Class46 components and reload screen","Variant; ties an NPC to interface/menu logic"
"Class348_Sub23","OggBitstreamDecoder","Abstract Class348 node over OggStreamState; abstract packet decode methods","Base for Sub23_Sub1 Vorbis; static sin/cos tables, video startup"
"Class348_Sub23_Sub1","VorbisOggDecoder","Class348_Sub23; uses jagtheora Vorbis to decode Ogg into PCM","Variant; feeds Class348_Sub16_Sub2 buffer, resamples via Class163"
"Class348_Sub23_Sub2","TheoraVideoStream","Holds TheoraInfo/DecoderContext/Frame; decodes Ogg/Theora video packets into Class105 images","Subclass of Class348_Sub23; Theora video-codec stream variant"
"Class348_Sub23_Sub3","NullOggStream","Stub subclass of Class348_Sub23 with empty packet/clear overrides","No-op Ogg stream variant; companion builds Class238_Sub1 from a Socket"
"Class348_Sub23_Sub4","KaraokeSubtitleStream","Parses subtitle ('SUB') packets: position, dimensions, timed text, floats","Subtitle/caption Ogg stream variant; produces displayable timed text"
"Class348_Sub24","ClientGameLoopNode","Two-int instance; companion drives per-frame networking/packet-build game loop","Node subclass; instance thin, behavior largely in static loop; approximate name"
"Class348_Sub25","ImageBoxBlurScroller","Pixel IntArray and dimension; scroll/wrap and box-blur the pixel grid","Class348 node holding an image buffer with blur and offset operations"
"Class348_Sub26","NamedIdEntry","Volatile String name and volatile int id (-1 default)","Simple Class348 record node pairing a name with an integer id"
"Class348_Sub27","MultiFieldRecord","Flat record of ~12 int fields, no methods","Plain data-holder Class348 node; coordinate/state values"
"Class348_Sub28","DisposableHolder","Holds a single Interface19 reference","Thin wrapper Class348 node carrying one Interface19 instance"
"Class348_Sub29","ShortKeyNode","Holds one Short; hashtable value keyed by terrain tile in Sub32/Sub38","Class348 node; stores a vertex/index short"
"Class348_Sub3","ModelVertexColorBuffer","Builds native vertex/color stream for s_Sub3 model via ha_Sub3 hardware buffers","Class348 node; uploads per-face colors to GPU NativeHeapBuffer/Stream"
"Class348_Sub30","AbstractEffectNode","Abstract Class348 node with int field and abstract apply(Class348_Sub16_Sub4) + reset","Base for effect/processor nodes operating on audio mixer input"
"Class348_Sub31","AbstractFrameBufferSurface","Abstract Class348 node with pixel IntArray, dimensions, abstract canvas init/blit","Base for AWT-backed off-screen drawing surfaces"
"Class348_Sub31_Sub1","BufferedImageSurface","Concrete surface backing pixels with BufferedImage/DirectColorModel","Variant of Class348_Sub31 using java.awt.image BufferedImage"
"Class348_Sub31_Sub2","ProducerImageSurface","Concrete surface implementing ImageProducer, pushing pixels to ImageConsumer","Variant of Class348_Sub31 using ImageProducer/ImageConsumer pipeline"
"Class348_Sub32","TerrainShadowBuilderGl2","Computes per-tile terrain normals/shadow colors, building geometry via ha_Sub2/s_Sub2","Class348 node; ha_Sub2 render-backend variant of terrain shadow/normal builder"
"Class348_Sub33","AnimationFrameDefinition","Parses byte stream into per-transform type/delay/group arrays for a skeletal frame","Class348 node decoding animation/frame transform definition data"
"Class348_Sub34","IntPair","Holds exactly two int fields, no methods","Minimal Class348 record node storing a pair of integers"
"Class348_Sub35","IntKeyNode","Holds one int; default and int constructors","Class348 node; single-integer value/key holder"
"Class348_Sub36","WidgetActionEntry","Bundles ints, two Class46s, Object array, flag, string into one record","Class348 record node; UI/menu action descriptor"
"Class348_Sub37","HashTableContainer","Wraps an owned Class262 hash table","Class348 node serving as a keyed collection holder"
"Class348_Sub38","TerrainShadowBuilderGl3","Computes terrain normals/shadow colors building geometry via ha_Sub3/s_Sub3 streams","Class348 node; ha_Sub3 GPU-stream variant counterpart of Class348_Sub32"
"Class348_Sub39","ShortByteArrayPair","Holds a ShortArray and a ByteArray, no methods","Class348 record node pairing two parallel primitive arrays"
"Class348_Sub4","ClientMachineInfo","Gathers OS/arch/JVM/CPU details and serializes them to a packet stream","Class348 node; machine/system fingerprint sent during login"
"Class348_Sub40","AbstractProceduralTextureNode","Abstract Class348 node: filter graph with child array, RGB and monochrome outputs, config parse","Base for procedural texture/material effect nodes"
"Class348_Sub40_Sub1","ColorThresholdEffect","Compares channels against thresholds, scaling colors within tolerance band","Color-output variant of Class348_Sub40; chroma threshold/key filter"
"Class348_Sub40_Sub10","BrightnessContrastEffect","Remaps channel values into a configurable min..max range (levels)","Color and monochrome variant of Class348_Sub40; brightness/contrast filter"
"Class348_Sub40_Sub11","RadialGradientMaskEffect","Monochrome radial/angular falloff mask from coordinate arrays","Monochrome-output variant of Class348_Sub40; gradient/aperture mask"
"Class348_Sub40_Sub12","GradientLookupEffect","Maps luminance through a 257-entry color ramp built from keyframe stops","Color variant of Class348_Sub40; gradient/palette colorization"
"Class348_Sub40_Sub13","GrayscaleEffect","Monochrome effect outputting average of the three RGB channels","Monochrome-output variant of Class348_Sub40; desaturate/luminance"
"Class348_Sub40_Sub14","CurveTextureNode","Builds 257-entry curve LUT from control points; cubic interpolation","Mono node; control-point spline applied to input via lookup table"
"Class348_Sub40_Sub15","BrightnessTextureNode","Mono node scales pixels by anInt9220 brightness factor","Multiplies monochrome input values; default factor 4096"
"Class348_Sub40_Sub16","CombineTextureNode","Colour node adds two child RGB inputs per channel","Sums inputs 0 and 1; configurable mono/colour combine"
"Class348_Sub40_Sub17","SpriteTextureNode","Loads sprite pixels via Class207; base for image-backed nodes","Open base; exposes width/height/pixels for variant subclasses"
"Class348_Sub40_Sub17_Sub1","SpriteRgbTextureNode","Variant of Sub17 decoding sprite pixels into RGB channels","Extends SpriteTextureNode; unpacks 12-bit packed pixels to colour"
"Class348_Sub40_Sub18","ConstantColourTextureNode","Colour node fills all pixels with one constant RGB","Decodes packed colour; outputs uniform R/G/B across scanline"
"Class348_Sub40_Sub19","BlankTextureNode","Mono node returns shared zeroed scratch array unchanged","Trivial passthrough; minimal instance logic"
"Class348_Sub40_Sub20","NoiseTextureNode","Mono node hashes coordinates into pseudo-random per-pixel values","Integer hash producing white-noise texture output"
"Class348_Sub40_Sub21","WeaveTextureNode","Mono node draws sine-thresholded crossing stripe weave pattern","Uses sine table and angle offsets for interleaved bands"
"Class348_Sub40_Sub22","CellNoiseTextureNode","Mono node builds randomized grid cells via seeded Random","Jittered cell grid; produces cellular/voronoi-like texture"
"Class348_Sub40_Sub23","TurbulenceTextureNode","Mono node generates multi-parameter seeded random turbulence field","Many tunable amplitude/scale fields; Random-driven noise"
"Class348_Sub40_Sub24","GradientMapTextureNode","Mono node maps coordinate into banded gradient ranges","Range bounds arrays; blends modes via anInt9325"
"Class348_Sub40_Sub25","RadialTextureNode","Mono node computes squared-distance/iterated radial field per pixel","Circular/distance-based monochrome pattern"
"Class348_Sub40_Sub26","ColourKeyTextureNode","Colour node tints grey pixels, multiplies coloured pixels by RGB","Detects equal-channel pixels; replaces with constant tint else scales"
"Class348_Sub40_Sub27","BlendTextureNode","Colour node mixes two RGB inputs by mono mask","Mask input lerps between colour inputs 0 and 1 per pixel"
"Class348_Sub40_Sub28","ScatterTextureNode","Mono node scatters seeded random points/specks across output","Sparse value placement; count/size opcode params"
"Class348_Sub40_Sub29","TextureMapImageNode","Colour node samples loaded texture image into RGB channels","Loads material texture via Class286_Sub5; frame animation"
"Class348_Sub40_Sub30","HslAdjustTextureNode","Colour node converts RGB to HSL, shifts, converts back","Applies hue/sat/lum deltas per pixel"
"Class348_Sub40_Sub31","TileTextureNode","Colour node tiles/repeats child input across grid divisions","Horizontal/vertical repeat counts; samples child by modulo"
"Class348_Sub40_Sub32","InvertTextureNode","Inverts child pixels (4096 minus value) per channel","Colour and mono supported; flag selects output mode"
"Class348_Sub40_Sub33","WarpTextureNode","Distorts sampling coordinates (atan2 polar) then reads child","method3139 computes warped coords; mono and colour output"
"Class348_Sub40_Sub34","NormalMapTextureNode","Computes surface normals from neighbor sampling; sqrt-normalized RGB output","Subclass of Class348_Sub40; outputs color normal map with optional bias"
"Class348_Sub40_Sub35","DirectionalLightTextureNode","Bump-shades samples using light direction (yaw/pitch/intensity) via dot product","Class348_Sub40 monochrome node; sin/cos light vector"
"Class348_Sub40_Sub36","SineWaveTextureNode","Generates wave/ripple patterns from radial or linear distance with sine lookup","Class348_Sub40 monochrome node; linear/radial mode and waveform shaping"
"Class348_Sub40_Sub37","BoxBlurTextureNode","Two-pass box blur over horizontal/vertical kernel for mono and color","Class348_Sub40 node; separable sliding-window averaging"
"Class348_Sub40_Sub38","ClampTextureNode","Clamps each channel/sample between configurable min and max bounds","Class348_Sub40 node; mono and color clamp implementations"
"Class348_Sub40_Sub39","RenderListTextureNode","Composites a list of Class50 draw primitives into a buffer, splitting RGB","Class348_Sub40 node; static method3153 manages render queue"
"Class348_Sub40_Sub4","SourceRowTextureNode","Leaf node copying a precomputed gradient/source row into monochrome output","Class348_Sub40 node; fills via Class214 from source data array"
"Class348_Sub40_Sub5","VoronoiNoiseTextureNode","Seeded random feature points; nearest-distance cellular/Voronoi noise","Class348_Sub40 node; distance fields, jitter; cellular generator"
"Class348_Sub40_Sub6","DisplaceTextureNode","Displaces sampling coordinates by directional offset for distortion/warp","Class348_Sub40 node; defines shared row-width; samples displaced rows"
"Class348_Sub40_Sub7","FlipTextureNode","Mirrors/inverts sampling along axis with optional boolean flip flags","Class348_Sub40 color node; two booleans for flip and inversion"
"Class348_Sub40_Sub8","PerlinNoiseTextureNode","Layered fractal Perlin/turbulence noise from permutation tables and octaves","Class348_Sub40 node; octaves/amplitude/seed; byte permutation arrays"
"Class348_Sub40_Sub9","EdgeDetectTextureNode","Computes edge intensity from neighbor differences via gradient magnitude","Class348_Sub40 monochrome node; sqrt of squared deltas"
"Class348_Sub41","RegionSceneShifter","Static-heavy region/map loader shifting NPCs, players, projectiles on tile recenter","Extends Class348; mostly companion methods; manages scene coordinate updates"
"Class348_Sub42","HashLinkedListNode","Abstract doubly-linked list node base with prev/next pointers and long key","Extends Class348; aLong7057 key; unlink/has-prev helpers"
"Class348_Sub42_Sub1","ParamMap","Wraps Class356 hashtable of int/string parameters keyed by id","Subclass of Class348_Sub42; int (Class348_Sub35) and string (Class348_Sub50) values"
"Class348_Sub42_Sub10","ParameterizedText","Template text with embedded dynamic field substitutions formatted via Class355","Class348_Sub42 subclass; string segments plus param/enum arrays"
"Class348_Sub42_Sub11","CharCodeMap","Bidirectional char-to-code lookup tables for command/key shortcut translation","Class348_Sub42 subclass; char arrays paired with int code arrays"
"Class348_Sub42_Sub12","ContactEntry","Friend/contact record with names, world id, key longs, and status flags","Class348_Sub42 list node; aLong9600 used as server key"
"Class348_Sub42_Sub13","ContactList","Groups ContactEntry items in a Class107 list, deduped by sort comparison","Class348_Sub42 node holding Class107 of Sub12 entries; add/remove"
"Class348_Sub42_Sub14","InterfaceComponentGroup","UI component group holding Class262 of Class348_Sub18 sub-elements with bounds","Class348_Sub42 node; bounding box, hit-tests, draws children"
"Class348_Sub42_Sub15","TimedTileQueueEntry","Linked node keyed by packed tile coords with expiry timestamp","Class348_Sub42 subclass; aLong4291 packs x/y/plane; sets expiry, re-queues"
"Class348_Sub42_Sub16","AsyncResourceRequest","Abstract async data request exposing progress percent and resulting byte data","Abstract Class348_Sub42 subclass; abstract progress and bytes methods"
"Class348_Sub42_Sub16_Sub1","StreamingResourceRequest","Variant streaming bytes from a Class348_Sub49 buffer, progress from read offset","Concrete AsyncResourceRequest; throws until fully buffered"
"Class348_Sub42_Sub16_Sub2","CompletedResourceRequest","Variant holding a finished byte array with Class137; progress 0 or 100","Concrete AsyncResourceRequest; binary not incremental progress"
"Class348_Sub42_Sub17","TextureMaterialGroup","Lazy-loads byte archives, builds Class4 entries with Class348_Sub33 palettes","Holds aClass4Array; reads via Class348_Sub49 buffers; texture/material data"
"Class348_Sub42_Sub18","ParticleEmitterListNode","Wraps a Class318_Sub1_Sub3_Sub5 (particle/effect) as a list node","Sole instance field is the Class318_Sub1_Sub3_Sub5 reference"
"Class348_Sub42_Sub19","MinimapAreaMarkerNode","Holds area id/name, Class273, sprite arrays, palette indices for minimap region","Companion stamps region ids into map grid"
"Class348_Sub42_Sub2","RenderbufferObject","OpenGL renderbuffer wrapper; allocates via glGenRenderbuffersEXT, binds, attaches","Implements Interface9; holds ha_Sub2, width/height/format; finalize releases"
"Class348_Sub42_Sub20","SpriteRenderEntry","Wraps Class342 image plus Class174, caches dimensions/offsets for drawing","Instance: Class342, Class174, bounds; init computes via method2685"
"Class348_Sub42_Sub3","LoadingScreenImageNode","Holds raw image bytes; companion computes scaled loading-bar geometry","Sole instance field aByteArray9499; companion does progress-bar layout"
"Class348_Sub42_Sub4","ShortMatrixNode","Holds a 2D ShortArray and a Double scalar","Lightweight data-holder node returning matrix dimensions"
"Class348_Sub42_Sub5","ProceduralTextureGraph","Graph of Class348_Sub40 nodes generating RGBA pixel rows","Reads node graph from Class348_Sub49; produces IntArray pixel buffer"
"Class348_Sub42_Sub6","ChatScriptListNode","Wraps Class318_Sub1_Sub3_Sub4; companion parses pause/cutscene script strings","Sole instance field is the Class318_Sub1_Sub3_Sub4"
"Class348_Sub42_Sub7","ConfigShortValueNode","Reads a single unsigned-short config value via opcode loop","Instance field anInt9542 set from Class348_Sub49 opcode 2"
"Class348_Sub42_Sub8","CacheEntryReference","Abstract keyed cache node; subclasses return held object and soft/hard flag","Abstract method3193 (get) and method3195 (isSoft); base for Sub8_SubN"
"Class348_Sub42_Sub8_Sub1","SoftCacheEntryReference","Variant of Class348_Sub42_Sub8 storing value in a SoftReference","method3195 returns true (soft); get returns referent"
"Class348_Sub42_Sub8_Sub2","HardCacheEntryReference","Variant of Class348_Sub42_Sub8 holding a strong Any reference","method3195 returns false (not soft); get returns object"
"Class348_Sub42_Sub9","KeyedCacheEntryReference","Abstract cache node pairing an Interface14 callback with stored object","Abstract method3205 (get) and method3206 (isSoft); base for Sub9_SubN"
"Class348_Sub42_Sub9_Sub1","HardKeyedCacheEntryReference","Variant of Class348_Sub42_Sub9 holding strong object reference","method3206 returns false (not soft); get returns object"
"Class348_Sub42_Sub9_Sub2","SoftKeyedCacheEntryReference","Variant of Class348_Sub42_Sub9 storing object in a SoftReference","method3206 returns true (soft); get returns referent"
"Class348_Sub43","SpriteDefinition","Wide record of int dimensions plus Class23/Class348_Sub17/Sub16_Sub5/Sub19_Sub1 refs","method3299 nulls fields; def/resource record extending Class348"
"Class348_Sub44","PackedFlagsAccessor","Wraps two ints, exposing bit-packed boolean/int flag getters via shifts/masks","Instance anInt7098/anInt7093; extends Class348"
"Class348_Sub45","TimedRecordAccessor","Abstract accessor exposing four int getters and one long getter","Base for Sub45_SubN; extends Class348"
"Class348_Sub45_Sub1","TimedRecordAccessorA","Variant of Class348_Sub45 backed by four ints and a long field","Getters return stored fields"
"Class348_Sub45_Sub2","TimedRecordAccessorB","Variant of Class348_Sub45 with differently-ordered int/long backing fields","Getters map to its own fields"
"Class348_Sub46","StringValueNode","Holds a single String; companion provides file-output and Class369_Sub3 parsing","Sole instance field aString7111; extends Class348"
"Class348_Sub47","OutgoingPacketNode","Holds a Class348_Sub49_Sub2 buffer plus Class351; queued outbound packet","Companion flushes via ha; packet/buffer writer type"
"Class348_Sub48","ModelResourceBundle","Holds Class144 arrays, byte-array-array-array data and int index arrays","Aggregate model/sprite resource record; extends Class348"
"Class348_Sub49",ByteBuffer,"Byte-array packet buffer with position pointer and many endian read/write methods","Instance aByteArray7154 + position; packet/buffer reader-writer"
"Class348_Sub49_Sub1","FloatBuffer","Variant of Class348_Sub49 adding IEEE float read/write via floatToRawIntBits","method3399/3400 write little/big-endian floats"
"Class348_Sub49_Sub2","CipheredPacketBuffer","Reads bits/bytes from buffer with ISAAC cipher (Class77), bit access","Variant of Class348_Sub49 (Buffer); adds keyed read/bit-packing"
"Class348_Sub5","AbstractBloomEffect","Abstract GL/D3D bloom post-process; holds ha_Sub2, abstract render methods","Base for Class348_Sub5_Sub1; bound to ha_Sub2 device"
"Class348_Sub50","StringCacheNode","Class348 hashtable node holding a single String","Thin string-keyed cache entry extending Class348 node base"
"Class348_Sub51","DisplaySettingsConfig","Aggregates ~40 Class239_Sub* settings parsed from a buffer","Extends Class348 node; central graphics/options definition"
"Class348_Sub5_Sub1","GlBloomEffect","OpenGL bloom impl: FBOs, GLSL blur/threshold shaders, RTT","Concrete OpenGL variant of Class348_Sub5; uses Class206/Class258_Sub3"
"Class348_Sub6","HslColorTableNode","Instance holds two ints; static builds 65536-entry HSL-to-RGB palette","Extends Class348 node; static color ramp generation (unrelated to instance)"
"Class348_Sub7","RegionTileNode","Instance: 6 region/tile coord+flag fields","Extends Class348 node; positional/region cache entry"
"Class348_Sub8","FacingDirectionNode","Byte-array node; static computes entity facing angles via atan2","Extends Class348 node; helper for orienting entities"
"Class348_Sub9","CharacterRenderState","Instance: Player/Npc refs, anim/model fields, build state via method2781","Extends Class348 node; per-entity render/animation descriptor"
"Class349","FormantSynthFilter","Reads filter coeffs from buffer; computes IIR coefficients via cos/pow","Audio formant/envelope synthesis filter"
"Class35","SoundEngineInitializer","Static-only object; initializes audio devices/streams","Kotlin object; sound subsystem bootstrap"
"Class350","ModelTransformParams","Instance: scale/rotate/translate ints; copy and clone methods","Mutable transform/orientation parameter holder"
"Class351","FontMetaRef","Instance: two ints (id refs); toString throws","Lightweight id/handle pair; static font/name lookup helpers"
"Class352","RenderableEntry","Instance: Class324 + Class143 (drawable + font/def)","Static priority-queue insert"
"Class353","TextureMipDescriptor","Instance: dims, shorts, byte, bool flags; static GL mipmap build","Texture metadata + downscaling via glTexImage2D"
"Class354","TextureCache","Instance: ha_Sub2, d, Class60 LRU; loads/creates Class258_Sub3 textures","Per-device texture loader/cache from Class12 defs"
"Class355","CompiledScriptCache","Instance: Class60 cache, two Class45 archives, Interface15; loads Class348_Sub42_Sub10","Caches parsed clientscript objects keyed by id"
"Class356","Hashtable","Instance: Class348[] buckets, key, iteration cursors; get/put/remove","Chained hashtable of Class348 nodes"
"Class357","SceneCollisionEntry","Instance: many Class318_Sub1_Sub* scene-object refs + linked list","Per-tile bucket of scene entities (locs/grounditems)"
"Class358","ParticleGeometry","Instance: int arrays + float[][]; static draws via ha (3D)","Geometry/vertex data container; static render of quads"
"Class359","TextureAtlasState","Instance: ints + bool; static loads Class207 sprites/atlases","Holds atlas indices; static texture-pack readiness"
"Class36","AnimationFrameTable","Static object: int lookup array; sets dirty flag","Kotlin object; animation frame-index lookup table"
"Class360","Rectangle","Instance: four ints; copy constructor","Plain x/y/w/h bounds record with copy ctor"
"Class361","CollisionMap","Instance: int[][] flag grid; bitmask path/reachability tests","Tile collision/clipping flag map"
"Class362","Tooltip","Static object: rendering of bordered text box via ha","Kotlin object; draws hover/tooltip boxes"
"Class363","MapElementManager","Static object: manages Class243 arrays, minimap/loc icons","Kotlin object; rebuilds map-element/minimap collections"
"Class364","NamedIdRecord","Instance: String + int; toString throws","Id+name pair; static cache flush helper"
"Class365","RenderType","Instance: two names, two ints, long (id/world/rank)","Friends/clan member record"
"Class366","D3dVertexBuffer","Implements Interface5_Impl1; wraps IDirect3DVertexBuffer, lock/unlock/upload","Direct3D vertex buffer wrapper"
"Class367","AbstractRenderPass","Abstract; holds ha_Sub3 device; abstract begin/end/setup render methods","Base of render-pass/material-effect hierarchy (GL & D3D)"
"Class367_Sub1","NullRenderPass","All overrides empty/no-op","No-op variant of Class367; disabled effect pass"
"Class367_Sub10","GlShadowRenderPass","OpenGL shadow/depth pass: depth texture, stencil, blend setup","GL variant of Class367; shadow/ground-decal projection"
"Class367_Sub11","GlGroundShaderPass","OpenGL ARB program pass: lit/unlit ground shaders, local params","GL variant of Class367; underwater/ground vertex-program"
"Class367_Sub2","GlWaterRenderPass","OpenGL ARB program: transparent_water shader, animated params","GL variant of Class367; animated transparent-water"
"Class367_Sub3","BasicGlRenderPass","Thin GL pass toggling device state via ha_Sub3","GL variant of Class367; minimal blend/state-only"
"Class367_Sub4","GlCubemapLightPass","Builds 6-face cubemap specular/lighting tables via pow/sqrt","GL variant of Class367; per-face directional lighting"
"Class367_Sub5","D3dUnderwaterShaderPass","Direct3D: uw_ground/model lit/unlit vertex shaders","D3D variant of Class367; underwater vertex-shader effect"
"Class367_Sub6","D3dWaterShaderPass","Direct3D: transparent_water vertex shader, animated params","D3D variant of Class367; transparent-water vertex-shader"
"Class367_Sub7","D3dEnvMappedWaterPass","Extends Class367; D3D vertex/pixel shaders for environment-mapped water","Direct3D variant; Class367_Sub9 is OpenGL twin"
"Class367_Sub8","FixedFunctionWaterPass","Extends Class367; multitexture animated water via texture combiners","Fallback water effect with no shaders; uses Class269 textures"
"Class367_Sub9","GlEnvMappedWaterPass","Extends Class367; ARB GLSL shaders for environment-mapped water","OpenGL variant; mirrors Direct3D Class367_Sub7"
"Class368","LocConfigModelBuilder","Reads loc/object config opcodes, builds recolored Class64 models","Caches built models in Class319; handles retexture/recolor"
"Class369","WorldMapLabel","Implements Interface12; holds Class221/Class341 coords and label ints","Base for world-map element variants returning Class223 type"
"Class369_Sub1","WorldMapAreaLabel","Extends Class369; adds two ints, returns area Class223","Variant created via Class5.method179 from stream"
"Class369_Sub2","WorldMapTextLabel","Extends Class369; adds two ints, returns text Class223","Variant; companion loads Class45 archives per type"
"Class369_Sub3","WorldMapIconLabel","Extends Class369; six extra ints, returns icon Class223","Intermediate base for Class369_Sub3_Sub1"
"Class369_Sub3_Sub1","WorldMapPolygonIconLabel","Extends Class369_Sub3; adds one int, returns polygon Class223","Companion does line-clipping rasterization"
"Class37","ByteArrayPool","Object pool recycling sized byte arrays for reuse","Pure static utility; allocates/frees pooled buffers"
"Class370","VorbisCodebook","Decodes Vorbis codebook: Huffman tree plus VQ float vectors","Reads from bitstream Class348_Sub10; method3582 returns vector"
"Class371","CubemapTextureFactory","Holds four ints; companion builds Class258_Sub3_Sub1 textures","Tiny instance; static factory may differ from instance purpose"
"Class372","MaterialTextureCache","Caches Interface18_Impl3 textures loaded from d via Class60","Builds material/sprite textures using ha_Sub3"
"Class373","InputTracker","Abstract input state tracker; button/coord query methods","Base for AWT mouse-listener implementations Sub1/Sub2"
"Class373_Sub1","MouseWheelInputTracker","Extends Class373; AWT mouse, motion and wheel listener","Variant with wheel support; uses Class262 event queues"
"Class373_Sub2","MouseInputTracker","Extends Class373; AWT mouse and motion listener, no wheel","Variant without wheel; mirrors Class373_Sub1"
